What is Azure Cosmos DB?	Azure Cosmos DB is a globally distributed, multi-model database service, supports schema-less data
Which ExpressRoute connectivity models are available?	- CloudExchange colocation<br>- Point-to-point Ethernet conection<br>- Any-to-any connection
Which categories of multifactor authentication are available?	- Something the user knows. i.e. email address and password.<br>- Something the user has. i.e. a code that's sent to the user's mobile phone.<br>- Something the user is. i.e biometric property
Which services Azure AD provides?	- Authentication (AuthN)<br>- Single sign-on<br>- Application management<br>- Device management<br>
What are the benefits of perform Authentication (AuthN) with Azure AD?	- self-service password reset<br>- multifactor authentication<br>- custom list of banned password<br>- smart lockout services
Is Azure App Service PAAS?	Yes
Is Azure Storages Accounts PAAS?	No. It is an IAAS
Which *AAS is Azure web app?<br>	PAAS
Which *AAS is Azure Logic App?	PAAS
"Which *AAS is A<span style=""color: rgb(33, 37, 41); background-color: rgb(255, 255, 255);"">zure SQL database</span>?<br>"	PAAS
What are Azure Reserved VM Instances (RIs)?	Are VM instance calready reserved that allowed you to save cost
What can you do with Azure DevTest Lab?	"It is aservice that allow you to create instances with&nbsp;<span style=""color: rgb(33, 37, 41);"">pre-configured bases or Azure Resource Manager templates</span>"
Can you add a physical server in a public cloud?	No. You can only deploy a virtual resource in a public cloud.&nbsp;
Can you deploy a virtual server in a public cloud?	Yes
Can VM of a scale set deployed across multiple update domains and fault domains to maximize availability?	Yes
